cohort,cust_id,org_id
1,10170,9971
1,10160,9962
1,10157,9959
1,10148,9950
1,10138,9940
1,10131,9933
1,10119,9921
1,10114,9916
1,10092,9894
1,10083,9885
1,10079,9881
1,10067,9869
1,10060,9862
1,10056,9858
1,10045,9847
1,10036,9838
1,10035,9837
1,10026,9828
1,10007,9809
1,10005,9807
1,10004,9806
1,9999,9801
1,9990,9792
1,9975,9777
1,9956,9758
1,9951,9753
1,9946,9748
1,9930,9732
1,9925,9727
1,9916,9718
1,9914,9716
1,9910,9712
1,9909,9711
1,9908,9710
2,15167,14875
2,15156,14865
2,15152,14861
2,15149,14858
2,15144,14853
2,15129,14838
2,15123,14832
2,15088,14797
2,15066,14775
2,15064,14773
2,15060,14769
2,15055,14764
2,15044,14753
2,15043,14752
2,15037,14746
2,14995,14704
2,14994,14703
2,14969,14678
2,14961,14670
2,14942,14653
2,14930,14643
2,14925,14639
2,14920,14634
2,14912,14626
2,14907,14621
2,14888,14602
2,14881,14595
2,14877,14591
2,14869,14583
2,14868,14582
2,14866,14580
2,14858,14574
2,14834,14554
2,14831,14551
2,14818,14538
2,14797,14518
2,14795,14516
2,14793,14514
2,14791,14512
2,14782,14503
2,14777,14498
2,14770,14493
2,14755,14478
2,14754,14477
2,14752,14475
2,14739,14462
2,14731,14455
2,14729,14453
2,14728,14452
2,14688,14412
2,14683,14407
2,14682,14406
2,14678,14402
2,14674,14398
2,14671,14395
2,14669,14393
2,14668,14392
2,14660,14384
2,14655,14379
2,14654,14378
2,14644,14368
2,14633,14357
2,14609,14333
2,14606,14330
2,14601,14325
2,14586,14310
2,14565,14289
2,14563,14287
2,14560,14284
2,14546,14270
2,14541,14265
2,14531,14255
2,14525,14249
2,14518,14242
2,14511,14235
2,14507,14231
2,14499,14223
2,14498,14222
2,14497,14221
2,14476,14202
2,14469,14195
2,14446,14172
2,14443,14169
2,14433,14159
2,14428,14154
2,14426,14152
2,14420,14146
2,14391,14117
2,14384,14110
2,14379,14105
2,14362,14088
2,14348,14074
2,14347,14073
2,14344,14070
2,14331,14057
2,14328,14054
2,14305,14031
2,14301,14027
2,14299,14025
2,14285,14011
2,14279,14005
2,14270,13996
2,14264,13990
2,14257,13983
2,14250,13976
2,14249,13975
2,14248,13974
2,14234,13960
2,14230,13956
2,14215,13941
2,14212,13938
2,14208,13934
2,14202,13928
2,14191,13917
2,14184,13910
2,14183,13909
2,14164,13891
2,14155,13882
2,14153,13880
2,14150,13877
2,14136,13863
2,14125,13852
2,14075,13804
2,14057,13788
2,14048,13779
2,14026,13758
2,14020,13752
2,14018,13750
2,14009,13741
2,13986,13718
2,13979,13711
2,13976,13708
2,13966,13698
2,13953,13685
2,13930,13662
2,13928,13660
2,13921,13653
2,13912,13644
2,13908,13640
2,13894,13626
2,13881,13613
2,13873,13605
2,13864,13596
2,13859,13591
2,13849,13581
2,13820,13552
2,13819,13551
2,13802,13534
2,13789,13521
2,13785,13517
2,13782,13514
2,13775,13507
2,13772,13503
2,13755,13486
2,13751,13482
2,13730,13461
2,13721,13453
2,13720,13452
2,13707,13439
2,13705,13437
2,13698,13430
2,13694,13427
2,13679,13414
2,13675,13410
2,13674,13409
2,13662,13397
2,13661,13396
2,13658,13393
2,13624,13359
2,13619,13354
2,13611,13346
2,13600,7964
2,13592,13328
2,13582,13318
2,13574,13310
2,13550,13286
2,13536,13272
2,13533,13269
2,13515,13252
2,13492,13230
2,13477,13215
2,13468,13206
2,13453,13191
2,13452,13190
2,13446,13184
2,13442,13180
2,13441,13179
2,13431,13169
2,13419,13157
2,13405,13145
2,13391,13131
2,13375,13115
2,13368,13108
2,13351,13091
2,13343,13083
2,13326,13066
2,13312,13052
2,13302,13042
2,13296,13036
2,13290,13030
2,13289,13029
2,13283,13023
2,13281,13021
2,13278,13018
2,13252,12992
2,13244,12984
2,13241,12981
2,13193,12933
2,13179,12918
2,13168,12907
2,13143,12883
2,13127,12867
2,13116,12856
2,13113,12853
2,13112,12852
2,13095,12835
2,13093,12833
2,13070,12815
2,13063,12808
2,13049,12794
2,13036,12781
2,13034,12779
2,13026,12771
2,13014,12760
2,13000,12746
2,12999,12745
2,12998,12744
2,12995,12741
2,12994,10327
2,12993,12740
2,12989,12736
2,12982,12731
2,12975,12724
2,12964,12713
2,12960,12709
